Country	Location	Measure	Year	Unit	Value
Austria	AUT	Household_net_saving_rates	2011	Percentage	7.8771554
Austria	AUT	Household_net_saving_rates	2012	Percentage	9.217733
Austria	AUT	Household_net_saving_rates	2013	Percentage	7.3363532
Austria	AUT	Household_net_saving_rates	2014	Percentage	7.804096
Austria	AUT	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.282
Austria	AUT	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.276
Austria	AUT	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.087
Austria	AUT	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.09
Austria	AUT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	7.1
Austria	AUT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	4.4
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	4.3
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.5
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
Austria	AUT	Total_tax_revenue	2011	Percentage	42.323
Austria	AUT	Total_tax_revenue	2012	Percentage	43.175
Austria	AUT	Taxes_on_income_and_profits	2011	Percentage	12.226
Austria	AUT	Taxes_on_income_and_profits	2012	Percentage	12.58
Austria	AUT	Taxes_on_goods_and_services	2011	Percentage	11.771
Austria	AUT	Taxes_on_goods_and_services	2012	Percentage	11.886
Austria	AUT	Taxes_on_the_average_worker	2011	Percentage	48.54
Austria	AUT	Taxes_on_the_average_worker	2012	Percentage	48.84
Austria	AUT	Taxes_on_the_average_worker	2013	Percentage	49.184
Austria	AUT	Taxes_on_the_average_worker	2014	Percentage	49.353
Austria	AUT	Life_expectancy_at_birth_total	2011	Years	81.1
Austria	AUT	Life_expectancy_at_birth_total	2012	Years	81
Austria	AUT	Life_expectancy_at_birth_total	2013	Years	81.2
Belgium	BEL	Infant_mortality	2011	Deaths_per_1_000_live_births	3.4
Belgium	BEL	Infant_mortality	2012	Deaths_per_1_000_live_births	3.8
Belgium	BEL	Infant_mortality	2013	Deaths_per_1_000_live_births	3.5
Belgium	BEL	Population_levels	2011	Inhabitants	11047.74
Belgium	BEL	Population_levels	2012	Inhabitants	11128.25
Belgium	BEL	Population_levels	2013	Inhabitants	11196.04
Belgium	BEL	Population_levels	2014	Inhabitants	11283.68
Belgium	BEL	Total_fertility_rates	2011	Children	1.81
Belgium	BEL	Total_fertility_rates	2012	Children	1.79
Belgium	BEL	Total_fertility_rates	2013	Children	1.76
Belgium	BEL	GDP_per_capita	2011	US_Dollar	41118.292
Belgium	BEL	GDP_per_capita	2012	US_Dollar	42209.263
Belgium	BEL	GDP_per_capita	2013	US_Dollar	43361.552
Belgium	BEL	GDP_per_capita	2014	US_Dollar	43723.648
Belgium	BEL	Gross_national_income_per_capita	2011	US_Dollar	41475.389
Belgium	BEL	Gross_national_income_per_capita	2012	US_Dollar	43177.61
Belgium	BEL	Gross_national_income_per_capita	2013	US_Dollar	43982.738
Belgium	BEL	Gross_national_income_per_capita	2014	US_Dollar	44382.63
Belgium	BEL	Real_household_disposable_income	2011	Growth_rate	-1.1144088
Belgium	BEL	Real_household_disposable_income	2012	Growth_rate	0.4051605
Belgium	BEL	Real_household_disposable_income	2013	Growth_rate	-0.69456227
Belgium	BEL	Real_household_disposable_income	2014	Growth_rate	0.31668367
Belgium	BEL	Household_net_saving_rates	2011	Percentage	6.5906125
Belgium	BEL	Household_net_saving_rates	2012	Percentage	6.3571089
Belgium	BEL	Household_net_saving_rates	2013	Percentage	4.9848493
Belgium	BEL	Household_net_saving_rates	2014	Percentage	5.0955522
Belgium	BEL	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.267
Belgium	BEL	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.262
Belgium	BEL	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.087
Belgium	BEL	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.093
Belgium	BEL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.1
Belgium	BEL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.7
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	4
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	3.9
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.3
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.3
Belgium	BEL	Total_tax_revenue	2011	Percentage	44.055
Belgium	BEL	Total_tax_revenue	2012	Percentage	45.283
Belgium	BEL	Taxes_on_income_and_profits	2011	Percentage	15.378
Belgium	BEL	Taxes_on_income_and_profits	2012	Percentage	15.722
Belgium	BEL	Taxes_on_goods_and_services	2011	Percentage	10.898
Belgium	BEL	Taxes_on_goods_and_services	2012	Percentage	11.292
Belgium	BEL	Taxes_on_the_average_worker	2011	Percentage	56.087
Belgium	BEL	Taxes_on_the_average_worker	2012	Percentage	55.994
Belgium	BEL	Taxes_on_the_average_worker	2013	Percentage	55.657
Belgium	BEL	Taxes_on_the_average_worker	2014	Percentage	55.576
Belgium	BEL	Life_expectancy_at_birth_total	2011	Years	80.7
Belgium	BEL	Life_expectancy_at_birth_total	2012	Years	80.5
Belgium	BEL	Life_expectancy_at_birth_total	2013	Years	80.7
Canada	CAN	Infant_mortality	2011	Deaths_per_1_000_live_births	4.8
Canada	CAN	Population_levels	2011	Inhabitants	34483.98
Canada	CAN	Population_levels	2012	Inhabitants	34880.49
Canada	CAN	Population_levels	2013	Inhabitants	35317.5
Canada	CAN	Population_levels	2014	Inhabitants	35711.7
Canada	CAN	Total_fertility_rates	2011	Children	1.61
Canada	CAN	Total_fertility_rates	2012	Children	1.61
Canada	CAN	Total_fertility_rates	2013	Children	1.61
Canada	CAN	GDP_per_capita	2011	US_Dollar	41565.259
Canada	CAN	GDP_per_capita	2012	US_Dollar	42143.975
Canada	CAN	GDP_per_capita	2013	US_Dollar	44281.283
Canada	CAN	GDP_per_capita	2014	US_Dollar	45025.022
Canada	CAN	Gross_national_income_per_capita	2011	US_Dollar	40807.634
Canada	CAN	Gross_national_income_per_capita	2012	US_Dollar	41601.733
Canada	CAN	Gross_national_income_per_capita	2013	US_Dollar	43675.684
Canada	CAN	Gross_national_income_per_capita	2014	US_Dollar	44353.746
Canada	CAN	Real_household_disposable_income	2011	Growth_rate	2.3056791
Canada	CAN	Real_household_disposable_income	2012	Growth_rate	2.745642
Canada	CAN	Real_household_disposable_income	2013	Growth_rate	2.3437339
Canada	CAN	Real_household_disposable_income	2014	Growth_rate	1.5082199
Canada	CAN	Household_net_saving_rates	2011	Percentage	4.2772002
Canada	CAN	Household_net_saving_rates	2012	Percentage	4.9821614
Canada	CAN	Household_net_saving_rates	2013	Percentage	4.9302916
Canada	CAN	Household_net_saving_rates	2014	Percentage	3.8107048
Canada	CAN	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.316
Canada	CAN	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.119
Canada	CAN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	8.5
Canada	CAN	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	5.2
Canada	CAN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.1
Canada	CAN	Total_tax_revenue	2011	Percentage	30.387
Canada	CAN	Total_tax_revenue	2012	Percentage	30.738
Canada	CAN	Taxes_on_income_and_profits	2011	Percentage	14.319
Canada	CAN	Taxes_on_income_and_profits	2012	Percentage	14.504
Canada	CAN	Taxes_on_goods_and_services	2011	Percentage	7.444
Canada	CAN	Taxes_on_goods_and_services	2012	Percentage	7.507
Canada	CAN	Taxes_on_the_average_worker	2011	Percentage	30.666
Canada	CAN	Taxes_on_the_average_worker	2012	Percentage	30.823
Canada	CAN	Taxes_on_the_average_worker	2013	Percentage	30.998
Canada	CAN	Taxes_on_the_average_worker	2014	Percentage	31.518
Canada	CAN	Life_expectancy_at_birth_total	2011	Years	81.5
Denmark	DNK	Infant_mortality	2011	Deaths_per_1_000_live_births	3.5
Denmark	DNK	Infant_mortality	2012	Deaths_per_1_000_live_births	3.4
Denmark	DNK	Infant_mortality	2013	Deaths_per_1_000_live_births	3.5
Denmark	DNK	Population_levels	2011	Inhabitants	5570.572
Denmark	DNK	Population_levels	2012	Inhabitants	5591.572
Denmark	DNK	Population_levels	2013	Inhabitants	5614.932
Denmark	DNK	Population_levels	2014	Inhabitants	5524.529
Denmark	DNK	Total_fertility_rates	2011	Children	1.75
Denmark	DNK	Total_fertility_rates	2012	Children	1.73
Denmark	DNK	Total_fertility_rates	2013	Children	1.67
Denmark	DNK	Total_fertility_rates	2014	Children	1.69
Denmark	DNK	GDP_per_capita	2011	US_Dollar	43318.505
Denmark	DNK	GDP_per_capita	2012	US_Dollar	44250.856
Denmark	DNK	GDP_per_capita	2013	US_Dollar	45696.835
Denmark	DNK	GDP_per_capita	2014	US_Dollar	45999.743
Denmark	DNK	Gross_national_income_per_capita	2011	US_Dollar	44238.696
Denmark	DNK	Gross_national_income_per_capita	2012	US_Dollar	45256.653
Denmark	DNK	Gross_national_income_per_capita	2013	US_Dollar	47163.608
Denmark	DNK	Gross_national_income_per_capita	2014	US_Dollar	47608.634
Denmark	DNK	Real_household_disposable_income	2011	Growth_rate	0.9531978
Denmark	DNK	Real_household_disposable_income	2012	Growth_rate	0.14726703
Denmark	DNK	Real_household_disposable_income	2013	Growth_rate	-0.95478273
Denmark	DNK	Real_household_disposable_income	2014	Growth_rate	1.6370947
Denmark	DNK	Household_net_saving_rates	2011	Percentage	0.91465567
Denmark	DNK	Household_net_saving_rates	2012	Percentage	0.74102717
Denmark	DNK	Household_net_saving_rates	2013	Percentage	1.1855662
Denmark	DNK	Household_net_saving_rates	2014	Percentage	-2.7569801
Denmark	DNK	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.253
Denmark	DNK	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.249
Denmark	DNK	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.065
Denmark	DNK	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.065
Denmark	DNK	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.3
Denmark	DNK	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.2
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	3.6
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	3.5
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	2.9
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	2.8
Denmark	DNK	Total_tax_revenue	2011	Percentage	47.677
Denmark	DNK	Total_tax_revenue	2012	Percentage	47.957
Denmark	DNK	Taxes_on_income_and_profits	2011	Percentage	29.059
Denmark	DNK	Taxes_on_income_and_profits	2012	Percentage	29.583
Denmark	DNK	Taxes_on_goods_and_services	2011	Percentage	15.237
Denmark	DNK	Taxes_on_goods_and_services	2012	Percentage	15.169
Denmark	DNK	Taxes_on_the_average_worker	2011	Percentage	38.429
Denmark	DNK	Taxes_on_the_average_worker	2012	Percentage	38.545
Denmark	DNK	Taxes_on_the_average_worker	2013	Percentage	38.209
Denmark	DNK	Taxes_on_the_average_worker	2014	Percentage	38.07
Denmark	DNK	Life_expectancy_at_birth_total	2011	Years	79.9
Denmark	DNK	Life_expectancy_at_birth_total	2012	Years	80.1
Denmark	DNK	Life_expectancy_at_birth_total	2013	Years	80.4
Finland	FIN	Obesity_rate_among_the_adult_population	2011	Percentage	16.6
Finland	FIN	Infant_mortality	2011	Deaths_per_1_000_live_births	2.4
Finland	FIN	Infant_mortality	2012	Deaths_per_1_000_live_births	2.4
Finland	FIN	Infant_mortality	2013	Deaths_per_1_000_live_births	1.8
Finland	FIN	Population_levels	2011	Inhabitants	5386
Finland	FIN	Population_levels	2012	Inhabitants	5413
Finland	FIN	Population_levels	2013	Inhabitants	5440
Finland	FIN	Population_levels	2014	Inhabitants	5465
Finland	FIN	Total_fertility_rates	2011	Children	1.83
Finland	FIN	Total_fertility_rates	2012	Children	1.8
Finland	FIN	Total_fertility_rates	2013	Children	1.75
Finland	FIN	GDP_per_capita	2011	US_Dollar	40251.144
Finland	FIN	GDP_per_capita	2012	US_Dollar	40437.389
Finland	FIN	GDP_per_capita	2013	US_Dollar	40951.322
Finland	FIN	GDP_per_capita	2014	US_Dollar	40684.161
Finland	FIN	Gross_national_income_per_capita	2011	US_Dollar	40433.519
Finland	FIN	Gross_national_income_per_capita	2012	US_Dollar	40648.488
Finland	FIN	Gross_national_income_per_capita	2013	US_Dollar	41091.494
Finland	FIN	Gross_national_income_per_capita	2014	US_Dollar	41102.76
Finland	FIN	Real_household_disposable_income	2011	Growth_rate	1.0252692
Finland	FIN	Real_household_disposable_income	2012	Growth_rate	-0.20737723
Finland	FIN	Real_household_disposable_income	2013	Growth_rate	0.39242082
Finland	FIN	Real_household_disposable_income	2014	Growth_rate	-1.0836478
Finland	FIN	Household_net_saving_rates	2011	Percentage	1.3247381
Finland	FIN	Household_net_saving_rates	2012	Percentage	0.71342773
Finland	FIN	Household_net_saving_rates	2013	Percentage	1.5247788
Finland	FIN	Household_net_saving_rates	2014	Percentage	-0.20271461
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.265
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.261
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2013	0-1_scale	0.262
Finland	FIN	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.076
Finland	FIN	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.071
Finland	FIN	Poverty_rate_50%_of_children_(age_0-17)	2013	Ratio	0.078
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.6
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.5
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2013	0-1_scale	5.5
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	3.8
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	3.7
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2013	Interdecile_ratio_P90_P10	3.8
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.2
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.1
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2013	Number	3.2
Finland	FIN	Total_tax_revenue	2011	Percentage	43.681
Finland	FIN	Total_tax_revenue	2012	Percentage	44.083
Finland	FIN	Taxes_on_income_and_profits	2011	Percentage	15.547
Finland	FIN	Taxes_on_income_and_profits	2012	Percentage	15.167
Finland	FIN	Taxes_on_goods_and_services	2011	Percentage	14.259
Finland	FIN	Taxes_on_goods_and_services	2012	Percentage	14.438
Finland	FIN	Taxes_on_the_average_worker	2011	Percentage	42.346
Finland	FIN	Taxes_on_the_average_worker	2012	Percentage	42.49
Finland	FIN	Taxes_on_the_average_worker	2013	Percentage	43.058
Finland	FIN	Taxes_on_the_average_worker	2014	Percentage	43.898
Finland	FIN	Life_expectancy_at_birth_total	2011	Years	80.6
Finland	FIN	Life_expectancy_at_birth_total	2012	Years	80.7
Finland	FIN	Life_expectancy_at_birth_total	2013	Years	81.1
France	FRA	Infant_mortality	2011	Deaths_per_1_000_live_births	3.5
France	FRA	Infant_mortality	2012	Deaths_per_1_000_live_births	3.5
France	FRA	Infant_mortality	2013	Deaths_per_1_000_live_births	3.6
France	FRA	Population_levels	2011	Inhabitants	63223.16
France	FRA	Population_levels	2012	Inhabitants	63514
France	FRA	Population_levels	2013	Inhabitants	63786.14
France	FRA	Population_levels	2014	Inhabitants	64062.25
France	FRA	Total_fertility_rates	2011	Children	2
France	FRA	Total_fertility_rates	2012	Children	1.99
France	FRA	Total_fertility_rates	2013	Children	1.98
France	FRA	Total_fertility_rates	2014	Children	1.98
France	FRA	GDP_per_capita	2011	US_Dollar	37353.202
France	FRA	GDP_per_capita	2012	US_Dollar	37499.311
France	FRA	GDP_per_capita	2013	US_Dollar	39236.085
France	FRA	GDP_per_capita	2014	US_Dollar	39356.686
France	FRA	Gross_national_income_per_capita	2011	US_Dollar	38213.332
France	FRA	Gross_national_income_per_capita	2012	US_Dollar	38031.165
France	FRA	Gross_national_income_per_capita	2013	US_Dollar	39849.829
France	FRA	Gross_national_income_per_capita	2014	US_Dollar	40132.322
France	FRA	Real_household_disposable_income	2011	Growth_rate	0.12917516
France	FRA	Real_household_disposable_income	2012	Growth_rate	-0.85442624
France	FRA	Real_household_disposable_income	2013	Growth_rate	-0.03356405
France	FRA	Real_household_disposable_income	2014	Growth_rate	1.1436829
France	FRA	Household_net_saving_rates	2011	Percentage	10.040931
France	FRA	Household_net_saving_rates	2012	Percentage	9.4635046
France	FRA	Household_net_saving_rates	2013	Percentage	9.0967282
France	FRA	Household_net_saving_rates	2014	Percentage	9.5534006
France	FRA	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.309
France	FRA	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.306
France	FRA	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.078
France	FRA	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.081
France	FRA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	7.4
France	FRA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7.4
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	4.7
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	4.6
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.6
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.6
France	FRA	Total_tax_revenue	2011	Percentage	44.068
France	FRA	Total_tax_revenue	2012	Percentage	45.285
France	FRA	Taxes_on_income_and_profits	2011	Percentage	10.016
France	FRA	Taxes_on_income_and_profits	2012	Percentage	10.697
France	FRA	Taxes_on_goods_and_services	2011	Percentage	10.93
France	FRA	Taxes_on_goods_and_services	2012	Percentage	11.048
France	FRA	Taxes_on_the_average_worker	2011	Percentage	49.964
France	FRA	Taxes_on_the_average_worker	2012	Percentage	50.121
France	FRA	Taxes_on_the_average_worker	2013	Percentage	48.871
France	FRA	Taxes_on_the_average_worker	2014	Percentage	48.444
France	FRA	Life_expectancy_at_birth_total	2011	Years	82.2
France	FRA	Life_expectancy_at_birth_total	2012	Years	82.1
France	FRA	Life_expectancy_at_birth_total	2013	Years	82.3
Germany	DEU	Infant_mortality	2011	Deaths_per_1_000_live_births	3.6
Germany	DEU	Infant_mortality	2012	Deaths_per_1_000_live_births	3.3
Germany	DEU	Infant_mortality	2013	Deaths_per_1_000_live_births	3.3
Germany	DEU	Population_levels	2011	Inhabitants	81039.75
Germany	DEU	Population_levels	2012	Inhabitants	80425.82
Germany	DEU	Population_levels	2013	Inhabitants	80645.6
Germany	DEU	Population_levels	2014	Inhabitants	80912.73
Germany	DEU	Total_fertility_rates	2011	Children	1.39
Germany	DEU	Total_fertility_rates	2012	Children	1.4
Germany	DEU	Total_fertility_rates	2013	Children	1.41
Germany	DEU	GDP_per_capita	2011	US_Dollar	42941.89
Germany	DEU	GDP_per_capita	2012	US_Dollar	43599.991
Germany	DEU	GDP_per_capita	2013	US_Dollar	44999.392
Germany	DEU	GDP_per_capita	2014	US_Dollar	46393.606
Germany	DEU	Gross_national_income_per_capita	2011	US_Dollar	44025.525
Germany	DEU	Gross_national_income_per_capita	2012	US_Dollar	44637.391
Germany	DEU	Gross_national_income_per_capita	2013	US_Dollar	45975.93
Germany	DEU	Gross_national_income_per_capita	2014	US_Dollar	47456.427
Germany	DEU	Real_household_disposable_income	2011	Growth_rate	0.93790634
Germany	DEU	Real_household_disposable_income	2012	Growth_rate	0.52721551
Germany	DEU	Real_household_disposable_income	2013	Growth_rate	0.54833599
Germany	DEU	Real_household_disposable_income	2014	Growth_rate	1.336365
Germany	DEU	Household_net_saving_rates	2011	Percentage	9.5639938
Germany	DEU	Household_net_saving_rates	2012	Percentage	9.2603778
Germany	DEU	Household_net_saving_rates	2013	Percentage	9.1357129
Germany	DEU	Household_net_saving_rates	2014	Percentage	9.522719
Germany	DEU	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.293
Germany	DEU	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.289
Germany	DEU	Poverty_rate_50%_of_children_(age_0-17)	2011	Ratio	0.087
Germany	DEU	Poverty_rate_50%_of_children_(age_0-17)	2012	Ratio	0.083
Germany	DEU	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.9
Germany	DEU	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.6
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2011	Interdecile_ratio_P90_P10	4.4
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_level,_late_2000s	2012	Interdecile_ratio_P90_P10	4.3
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.6
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
Germany	DEU	Total_tax_revenue	2011	Percentage	36.925
Germany	DEU	Total_tax_revenue	2012	Percentage	37.593
Germany	DEU	Taxes_on_income_and_profits	2011	Percentage	10.889
Germany	DEU	Taxes_on_income_and_profits	2012	Percentage	11.444
Germany	DEU	Taxes_on_goods_and_services	2011	Percentage	10.756
Germany	DEU	Taxes_on_goods_and_services	2012	Percentage	10.686
Germany	DEU	Taxes_on_the_average_worker	2011	Percentage	49.677
Germany	DEU	Taxes_on_the_average_worker	2012	Percentage	49.63
Germany	DEU	Taxes_on_the_average_worker	2013	Percentage	49.217
Germany	DEU	Taxes_on_the_average_worker	2014	Percentage	49.311
Germany	DEU	Life_expectancy_at_birth_total	2011	Years	80.8
Germany	DEU	Life_expectancy_at_birth_total	2012	Years	81
